MKT_RF,SMB,HML,RF,date
-0.0241,0.0024,-0.0077,0.0,194001
0.0144,0.025099999999999997,-0.0032,0.0,194002
0.020499999999999997,0.0125,-0.0127,0.0,194003
0.0022,0.0392,-0.0013,0.0,194004
-0.2195,-0.0666,-0.0369,-0.0002,194005
0.0667,-0.0213,0.0463,0.0,194006
0.0316,0.0101,-0.0074,0.0001,194007
0.0219,-0.0011,0.005600000000000001,-0.0001,194008
0.0239,0.0322,-0.0113,0.0,194009
0.0302,0.0028000000000000004,0.0464,0.0,194010
-0.0161,0.0194,0.0012,0.0,194011
0.0069,-0.0215,-0.0089,0.0,194012
-0.0417,0.01,0.0383,-0.0001,194101
-0.0143,-0.015700000000000002,0.0089,-0.0001,194102
0.0084,0.001,0.0304,0.0001,194103
-0.0546,-0.0169,0.0341,-0.0001,194104
0.0139,-0.0066,0.006,0.0,194105
0.0583,0.0132,0.0059,0.0,194106
0.0587,0.057,0.0725,0.0003,194107
-0.0017000000000000001,-0.0040999999999999995,-0.011000000000000001,0.0001,194108
-0.0087,-0.009899999999999999,-0.0028000000000000004,0.0001,194109
-0.0525,-0.0202,0.0163,0.0,194110
-0.0192,-0.0121,-0.0064,0.0,194111
-0.0487,-0.0298,-0.0594,0.0001,194112
0.0079,0.07519999999999999,0.10099999999999999,0.0002,194201
-0.0246,0.0172,-0.0113,0.0001,194202
-0.0658,0.0178,-0.0062,0.0001,194203
-0.0437,-0.006,0.0209,0.0001,194204
0.0594,-0.0305,-0.0265,0.0003,194205
0.0269,-0.012199999999999999,0.0054,0.0002,194206
0.0351,-0.0016,0.024,0.0003,194207
0.018000000000000002,-0.0009,0.013300000000000001,0.0003,194208
0.026099999999999998,0.0066,0.0239,0.0003,194209
0.0682,0.0182,0.0647,0.0003,194210
0.0015,-0.0154,-0.0424,0.0003,194211
0.0512,-0.024900000000000002,0.005600000000000001,0.0003,194212
0.0713,0.08779999999999999,0.0823,0.0003,194301
0.061500000000000006,0.0484,0.06509999999999999,0.0003,194302
0.0601,0.050300000000000004,0.0548,0.0003,194303
0.008100000000000001,0.0206,0.058600000000000006,0.0003,194304
0.0574,0.0441,0.032799999999999996,0.0003,194305
0.0182,-0.0106,-0.0074,0.0003,194306
-0.04769999999999999,-0.0241,-0.0227,0.0003,194307
0.013000000000000001,-0.0062,-0.004699999999999999,0.0003,194308
0.024,0.0128,0.0143,0.0003,194309
-0.0115,0.0058,0.0165,0.0003,194310
-0.0591,-0.016399999999999998,-0.0404,0.0003,194311
0.0636,0.0334,0.0322,0.0003,194312
0.0174,0.0256,0.0217,0.0003,194401
0.0037,-0.001,0.0083,0.0003,194402
0.0246,0.0171,0.034300000000000004,0.0002,194403
-0.0169,-0.013500000000000002,-0.0113,0.0003,194404
0.0507,0.0167,0.0102,0.0003,194405
0.054900000000000004,0.0404,0.0182,0.0003,194406
-0.0149,0.0055000000000000005,-0.0043,0.0003,194407
0.015700000000000002,0.0241,-0.0163,0.0003,194408
0.0001,0.004699999999999999,-0.0121,0.0002,194409
0.0016,-0.0014000000000000002,-0.0034000000000000002,0.0003,194410
0.0171,0.0037,0.0231,0.0003,194411
0.0403,0.022400000000000003,0.0591,0.0002,194412
0.020099999999999996,0.024399999999999998,0.0070999999999999995,0.0003,194501
0.0623,0.015600000000000001,0.044000000000000004,0.0002,194502
-0.038900000000000004,-0.0161,-0.0178,0.0002,194503
0.078,0.0032,0.0321,0.0003,194504
